"","CpG","RefRange"
"1","cg00000108",0.0331112956261643
"2","cg00000622",0.0389877814990079
"3","cg00000658",0.0481493474097467
"4","cg00000721",0.0499438563053536
"5","cg00000734",0.0255629062099973
"6","cg00000957",0.0477666999999999
"7","cg00001582",0.0212357562429632
"8","cg00001583",0.0493187093684614
"9","cg00001687",0.0301746384448744
"10","cg00002116",0.0422100361140157
"11","cg00002190",0.0479464064731383
"12","cg00002236",0.0323063707344994
"13","cg00002406",0.0162781457371345
"14","cg00002449",0.047605262795703
"15","cg00002464",0.0491771820767976
"16","cg00002490",0.0173353911368108
"17","cg00002531",0.0421571316880883
"18","cg00002591",0.0341067182485484
"19","cg00002660",0.0335638494427795
"20","cg00002810",0.0359777948175748
"21","cg00003091",0.0234232595160078
"22","cg00003173",0.0455045660515346
"23","cg00003202",0.0338713529413007
"24","cg00003513",0.0431856356022841
"25","cg00003784",0.0203961038127706
"26","cg00004055",0.02648302
"27","cg00004072",0.0231539835043879
"28","cg00004207",0.0253184219350836
"29","cg00004219",0.0342013689435767
"30","cg00004429",0.046449600908186
"31","cg00004533",0.0366485211360632
"32","cg00005072",0.0480326802156882
"33","cg00005306",0.0349415926929378
"34","cg00006122",0.0217786307266114
"35","cg00006243",0.024589516
"36","cg00006414",0.034003622330471
"37","cg00006884",0.0298251522311651
"38","cg00007226",0.0243389376097392
"39","cg00007269",0.0250728447289089
"40","cg00007324",0.038854733139321
"41","cg00007466",0.04699552
"42","cg00007981",0.0175306748736605
"43","cg00008033",0.0382222074577619
"44","cg00008188",0.0193554852857278
"45","cg00008387",0.0253642787344968
"46","cg00008713",0.0229624271807747
"47","cg00008823",0.0161281733054982
"48","cg00008839",0.0288013181974609
"49","cg00009053",0.0471200531130064
"50","cg00009167",0.0429577167373236
"51","cg00009364",0.0453497562443306
"52","cg00009407",0.0140991263395205
"53","cg00009412",0.023124090766127
"54","cg00009916",0.0414182660552734
"55","cg00010046",0.0208624428346279
"56","cg00010266",0.0346668370634837
"57","cg00010659",0.0209832761735787
"58","cg00010947",0.033593168
"59","cg00010992",0.0229241943389788
"60","cg00011122",0.033538972
"61","cg00011247",0.0474170944263594
"62","cg00011284",0.0409424772745168
"63","cg00011346",0.0419962810460914
"64","cg00011350",0.0353096349582469
"65","cg00011459",0.0416528328098069
"66","cg00011460",0.03013858
"67","cg00011578",0.0182945009699366
"68","cg00012036",0.0479875991843792
"69","cg00012126",0.029721976465928
"70","cg00012199",0.020376584773392
"71","cg00012203",0.0462564606311092
"72","cg00012386",0.0213184760942488
"73","cg00012792",0.0197469147657859
"74","cg00013196",0.0373297800000001
"75","cg00013374",0.0468492149067203
"76","cg00013540",0.0418532171487301
"77","cg00013569",0.0477170143652744
"78","cg00013733",0.035961394228584
"79","cg00013804",0.04899564
"80","cg00013993",0.0270592774463887
"81","cg00014085",0.0226415986662188
"82","cg00014272",0.0209501173100768
"83","cg00014285",0.0359755812095104
"84","cg00014301",0.0464132488941825
"85","cg00014665",0.0469203834519411
"86","cg00014733",0.0396114305824583
"87","cg00014752",0.019357774
"88","cg00014900",0.0371600089996746
"89","cg00015024",0.028419864
"90","cg00015058",0.0256640477179819
"91","cg00016066",0.0381956637273717
"92","cg00016156",0.0228489236724453
"93","cg00016223",0.0393711067712642
"94","cg00016406",0.0431493012554041
"95","cg00016498",0.014927016
"96","cg00016618",0.0452955984998271
"97","cg00016996",0.0433945353876992
"98","cg00017271",0.0474589477552924
"99","cg00017441",0.0408354109115847
"100","cg00018103",0.0370872879974087
"101","cg00018524",0.0449310411723384
"102","cg00018539",0.0490709859493741
"103","cg00019076",0.04416062
"104","cg00019093",0.0175891874430812
"105","cg00019301",0.0338721235457928
"106","cg00019308",0.0499486160284148
"107","cg00019377",0.026656482
"108","cg00019778",0.0196378032688592
"109","cg00019809",0.0312123620530929
"110","cg00020052",0.0433930231647875
"111","cg00020297",0.0482498226801864
"112","cg00020340",0.039950013829199
"113","cg00020533",0.0467302000000001
"114","cg00020720",0.0229856123487147
"115","cg00021028",0.026054544921784
"116","cg00021166",0.0461814802934554
"117","cg00021527",0.0247229606930356
"118","cg00021540",0.021877670635639
"119","cg00021558",0.0472955936551936
"120","cg00021944",0.02177051
"121","cg00022101",0.0364337760476376
"122","cg00022138",0.020628584483006
"123","cg00022235",0.0481011717937676
"124","cg00022259",0.0463863258716297
"125","cg00022308",0.047800031795875
"126","cg00022492",0.0371232526159237
"127","cg00022558",0.037387146
"128","cg00022594",0.0447188637436691
"129","cg00022606",0.047142737282994
"130","cg00022633",0.0303781984637977
"131","cg00022858",0.02172525617927
"132","cg00023001",0.0286313892346438
"133","cg00023132",0.0184404820313051
"134","cg00023168",0.0418511182181671
"135","cg00023695",0.0433702951197686
"136","cg00024198",0.0476399540601711
"137","cg00024396",0.034965455175136
"138","cg00024404",0.0213812927659882
"139","cg00024472",0.0438804345229816
"140","cg00024722",0.0363618701590208
"141","cg00024790",0.03100738
"142","cg00024812",0.0181433558799412
"143","cg00025155",0.0494699854954365
"144","cg00025436",0.0208303
"145","cg00025877",0.0492765163711648
"146","cg00026030",0.029128185579151
"147","cg00026104",0.0298716439153274
"148","cg00026374",0.0338679428992156
"149","cg00026457",0.0493898
"150","cg00026703",0.03506676590261
"151","cg00026731",0.030219240304722
"152","cg00027037",0.0433042178488392
"153","cg00027083",0.0446532196684853
"154","cg00027232",0.04493664
"155","cg00027990",0.0439234782433379
"156","cg00028184",0.0310264683083835
"157","cg00028338",0.0479688681441438
"158","cg00028429",0.030036767248459
"159","cg00028455",0.017337325
"160","cg00028487",0.0254372683824858
"161","cg00028636",0.0354556627236195
"162","cg00028677",0.0448049826850516
"163","cg00028749",0.0223011017734105
"164","cg00028757",0.0291808385889348
"165","cg00028829",0.0226591795750839
"166","cg00028870",0.0168422583502243
"167","cg00029233",0.0290350355444354
"168","cg00029353",0.0247287487851833
"169","cg00029397",0.0278299753397082
"170","cg00029619",0.0335501131434426
"171","cg00029640",0.04707774
"172","cg00030508",0.0283072516870641
"173","cg00030774",0.0392452135350982
"174","cg00030795",0.0380904194350964
"175","cg00030816",0.0403209333161188
"176","cg00031063",0.0426987000000001
"177","cg00031663",0.0331296252126503
"178","cg00031759",0.019996454985398
"179","cg00032036",0.0258706403271347
"180","cg00032192",0.0499625141166179
"181","cg00032227",0.0433739375154876
"182","cg00032419",0.0376240293750339
"183","cg00032643",0.04960532
"184","cg00032664",0.0378190357377868
"185","cg00032789",0.0176453673759766
"186","cg00032852",0.0377906085754505
"187","cg00033371",0.0332248801542435
"188","cg00033516",0.016705126
"189","cg00033533",0.0342637669322742
"190","cg00033551",0.0407604332339617
"191","cg00034039",0.0215720325651994
"192","cg00034130",0.02630363028944
"193","cg00034376",0.0269221490432432
"194","cg00034416",0.047869283049069
"195","cg00034433",0.0208213866728215
"196","cg00034555",0.0199921572352747
"197","cg00034650",0.0430206406761562
"198","cg00034852",0.0325275312377564
"199","cg00035074",0.043651454373322
"200","cg00035326",0.030683726
"201","cg00035453",0.0442027250965868
"202","cg00035608",0.021507003592647
"203","cg00035623",0.0480103619630322
"204","cg00035673",0.0471512512321026
"205","cg00035812",0.0217564557858181
"206","cg00035847",0.0370914655062464
"207","cg00035889",0.046402839566674
"208","cg00036011",0.0375866784833223
"209","cg00036258",0.04825618
"210","cg00036328",0.0225122847857836
"211","cg00036440",0.02695844098796
"212","cg00037013",0.046584502084443
"213","cg00037186",0.0490191513530798
"214","cg00037388",0.0279861763615658
"215","cg00037441",0.019884176
"216","cg00037763",0.0440510738873856
"217","cg00037940",0.04949542
"218","cg00038131",0.0420096575972536
"219","cg00038239",0.031953204736423
"220","cg00038436",0.022129232
"221","cg00038584",0.0486618442576501
"222","cg00038665",0.0463421185595678
"223","cg00038711",0.0383088187314064
"224","cg00039070",0.0373240752868659
"225","cg00039793",0.0411560493070673
"226","cg00040008",0.0340008805833032
"227","cg00040380",0.0229630159486027
"228","cg00040423",0.0276825433556439
"229","cg00040569",0.03783795
"230","cg00040646",0.0461416724570676
"231","cg00040861",0.022528908
"232","cg00040873",0.04995478
"233","cg00040945",0.0468338052362309
"234","cg00040986",0.0367538400992973
"235","cg00041084",0.0251794777923892
"236","cg00041328",0.02095467
"237","cg00041865",0.0463723711667384
"238","cg00041901",0.01875743262913
"239","cg00042341",0.0254752461944954
"240","cg00042356",0.0462815947649412
"241","cg00042683",0.04416694
"242","cg00042874",0.0411074962803878
"243","cg00043004",0.0425564803819999
"244","cg00043284",0.0491142541094739
"245","cg00043379",0.030712768
"246","cg00044170",0.0358446269816345
"247","cg00044289",0.02757411
"248","cg00044505",0.0443608635014275
"249","cg00044950",0.0434855057218391
"250","cg00045061",0.0302954784238854
"251","cg00045190",0.0483345491997657
"252","cg00045515",0.0468343999999999
"253","cg00046021",0.0321064747126957
"254","cg00046105",0.0462108308264013
"255","cg00046560",0.029047984
"256","cg00046815",0.0319952617302309
"257","cg00047050",0.0324252520078976
"258","cg00047469",0.02436515
"259","cg00047815",0.04569755
"260","cg00048705",0.0461329873541244
"261","cg00048746",0.0256905610314116
"262","cg00048838",0.0212293689798099
"263","cg00049253",0.036358781417583
"264","cg00049382",0.0444140109151747
"265","cg00049411",0.03802838
"266","cg00049502",0.0374943011443773
"267","cg00049616",0.0402545551503155
"268","cg00049691",0.0317113648725199
"269","cg00049718",0.0492016873955225
"270","cg00049947",0.0196926575652018
"271","cg00049973",0.0429997309887387
"272","cg00050224",0.0325484385952751
"273","cg00050312",0.0286907996746857
"274","cg00050984",0.0490033405343621
"275","cg00051068",0.0189240704381298
"276","cg00051546",0.0227354610247632
"277","cg00051590",0.0466745035942013
"278","cg00051595",0.0335318067894702
"279","cg00051782",0.01906314
"280","cg00051818",0.03763454
"281","cg00052046",0.0487371229207975
"282","cg00052290",0.0195407912831728
"283","cg00052422",0.0401243762624886
